Origin,Distance_Result
2539,0.243502
2595,0.053058
3647,0.191227
3831,0.250649
5022,0.1103
5099,0.219824
5121,0.172588
5178,0.135587
5203,0.151377
5238,0.037206
5295,0.081978
5441,0.11377
5803,0.141284
6021,0.140245
6090,0.160159
6848,0.088272
7097,0.333479
7322,0.116386
7726,0.324659
7750,0.230722
7801,0.046106
8024,0.080558
8025,0.143744
8110,0.172866
8490,0.252622
8505,0.232739
8700,0.130646
9357,0.104397
9518,0.102958
9657,0.194305
9668,0.162526
9704,0.169117
9782,0.626503
9783,0.036912
10452,0.135142
10962,0.118644
11452,0.450201
11708,0.270393
11943,0.140047
12048,0.044781
12192,0.360493
12299,0.095498
12303,0.482978
12318,0.170642
12343,0.247745
12627,0.094488
12937,0.018824
12940,0.005484
13050,0.379468
13394,0.322869
13808,0.055684
14287,0.058233
14290,0.165415
14314,0.195085
14322,0.278477
14377,0.021473
14991,0.125365
15220,0.109055
15338,0.664495
15341,0.025887
15385,0.270359
15396,0.080237
15711,0.322553
16326,0.329257
16338,0.131286
16421,0.138151
16458,0.247071
16580,0.366743
16595,0.473137
16821,0.216431
16974,0.197586
17037,0.432972
17092,0.140038
17693,0.026898
17747,0.053557
18127,0.193549
18152,0.403303
18198,0.272177
18590,0.441289
18728,0.01669
18764,0.224922
19159,0.17776
19169,0.026639
19282,0.071218
19319,0.146675
19601,0.035133
19812,0.035469
20299,0.233899
20300,0.171345
20611,0.259884
20724,0.17878
20734,0.157397
20755,0.127465
20853,0.165623
20913,0.088412
21293,0.200704
21456,0.095509
21644,0.182261
21794,0.009498
22911,0.354491
22918,0.158574
23135,0.307181
23501,0.174753
23686,0.087524
24143,0.097536
24285,0.16213
25235,0.330815
25406,0.052722
25696,0.105929
26012,0.232354
26362,0.109339
26520,0.081658
26559,0.159782
26785,0.099757
26933,0.394266
26954,0.192218
26969,0.110576
27006,0.125988
27385,0.4107
27531,0.192211
27644,0.087279
27659,0.034854
27759,0.139148
27883,0.193857
28321,0.07121
28396,0.380489
28907,0.163515
29012,0.07469
29013,0.150039
29455,0.07012
29628,0.091045
29683,0.007216
30031,0.282748
30927,0.083504
31130,0.062807
31555,0.053079
31902,0.782459
31994,0.128604
32023,0.278677
32037,0.109813
32100,0.135047
32289,0.109088
32331,0.020871
32363,1.224639
32965,0.282502
32969,0.269609
33009,0.207107
33014,0.310516
33223,0.224863
34760,0.313655
35526,0.122948
36121,0.168513
36133,0.221635
36442,0.165938
36647,0.257044
36703,0.096675
36934,0.429868
38638,0.063983
38663,0.158791
39267,0.11457
39282,0.20348
39593,0.128721
39704,0.231595
40039,0.068725
40453,0.112873
41348,0.119543
41513,0.067715
42580,0.080768
42729,0.304094
42882,0.404628
43957,0.155685
44096,0.288857
