"id","grid","cnt_all","cnt_entire_home","cnt_private_room","cnt_shared_room","avgprice_all","avgprice_entire_home","avgprice_private_room","avgprice_shared_room"
2539,"CM106",7,3,4,0,110.71428571429,141.66666666667,87.5,0
2595,"CI68",21,17,4,0,258.90476190476,260.82352941176,250.75,0
3647,"CU47",74,38,34,2,163.55405405405,221.73684210526,103.61764705882,77
3831,"CP93",43,32,11,0,132.90697674419,154.21875,70.909090909091,0
5022,"CT51",21,14,4,3,133.2380952381,159.21428571429,88.5,71.666666666667
5099,"CL70",92,70,20,2,199.97826086957,218.9,138.25,155
5121,"CQ92",92,36,53,3,119.09782608696,208.72222222222,62.698113207547,40
5178,"CI63",154,99,42,13,180.61038961039,216.33333333333,122.35714285714,96.769230769231
5203,"CN50",97,28,66,3,118.30927835052,213.14285714286,80.575757575758,63.333333333333
5238,"CH82",89,39,47,3,141.15730337079,204.33333333333,94.340425531915,53.333333333333
5295,"CO49",92,35,56,1,117.63043478261,153.85714285714,96.464285714286,35
5441,"CH65",183,106,73,4,201.2131147541,248.68867924528,136.58904109589,122.5
5803,"CH99",46,29,17,0,139.65217391304,173.55172413793,81.823529411765,0
6021,"CP51",94,35,59,0,144.63829787234,259.8,76.322033898305,0
6090,"CD74",82,72,9,1,292.74390243902,266.97222222222,522.55555555556,80
6848,"CR84",111,46,65,0,115.46846846847,168.5652173913,77.892307692308,0
7097,"CM90",43,29,13,1,153.88372093023,188.65517241379,85.076923076923,40
7322,"CF72",70,62,6,2,229.04285714286,237.12903225806,132.66666666667,267.5
7726,"CT96",39,19,20,0,92.794871794872,121.21052631579,65.8,0
7750,"CS52",52,18,34,0,126.28846153846,207.88888888889,83.088235294118,0
7801,"CQ80",123,85,38,0,169.88617886179,204.23529411765,93.052631578947,0
8024,"CK94",42,22,20,0,133.35714285714,166.68181818182,96.7,0
8025,"CK94",42,22,20,0,133.35714285714,166.68181818182,96.7,0
8110,"CK94",42,22,20,0,133.35714285714,166.68181818182,96.7,0
8490,"CU93",50,36,14,0,129.74,149.83333333333,78.071428571429,0
8505,"CL103",10,8,2,0,190.2,214,95,0
8700,"CY26",26,13,12,1,104.69230769231,128.23076923077,85.5,29
9357,"CI63",154,99,42,13,180.61038961039,216.33333333333,122.35714285714,96.769230769231
9518,"DA27",15,3,11,1,63.333333333333,93.333333333333,57.272727272727,40
9657,"CI76",147,106,41,0,172.86394557823,201.49056603774,98.853658536585,0
9668,"CS42",63,31,31,1,116.28571428571,157.77419354839,77.387096774194,36
9704,"CR46",69,15,52,2,157.66666666667,400.53333333333,92.153846153846,39.5
9782,"CV79",21,8,9,4,92.666666666667,140.625,75.222222222222,36
9783,"CR43",64,12,49,3,84.359375,165.33333333333,67.734693877551,32
10452,"CQ93",60,39,21,0,145.48333333333,184.07692307692,73.809523809524,0
10962,"CH99",46,29,17,0,139.65217391304,173.55172413793,81.823529411765,0
11452,"CU91",41,19,21,1,92.634146341463,130.15789473684,61.666666666667,30
11708,"CY86",103,25,78,0,80.106796116505,133.68,62.935897435897,0
11943,"CO110",8,4,4,0,138.125,200.75,75.5,0
12048,"CH82",89,39,47,3,141.15730337079,204.33333333333,94.340425531915,53.333333333333
12192,"CJ79",145,83,60,2,164.72413793103,213.86746987952,100.56666666667,50
12299,"CK101",6,3,3,0,153.33333333333,255,51.666666666667,0
12303,"CL88",42,6,36,0,70.52380952381,142.33333333333,58.555555555556,0
12318,"CK54",21,20,1,0,294.7619047619,302.75,135,0
12343,"CT46",49,28,21,0,148.87755102041,201.07142857143,79.285714285714,0
12627,"CO102",11,7,4,0,96.636363636364,101.85714285714,87.5,0
12937,"CT70",29,5,23,1,146.8275862069,153,97.521739130435,1250
12940,"CQ94",30,14,16,0,100.13333333333,138.28571428571,66.75,0
13050,"CU92",50,25,25,0,116.28,151.2,81.36,0
13394,"CL90",23,14,9,0,127.65217391304,152.42857142857,89.111111111111,0
13808,"CV94",37,28,9,0,118.08108108108,135.78571428571,63,0
14287,"CM56",42,35,7,0,305.07142857143,339.85714285714,131.14285714286,0
14290,"CW86",38,13,25,0,106.89473684211,193.30769230769,61.96,0
14314,"CR74",44,27,17,0,149.84090909091,177.18518518519,106.41176470588,0
14322,"CJ73",94,78,14,2,210.72340425532,221.19230769231,118.42857142857,448.5
14377,"CP84",44,15,28,1,127.20454545455,207.73333333333,86.107142857143,70
14991,"CG80",84,50,34,0,182.54761904762,230.88,111.47058823529,0
15220,"CG67",63,45,17,1,236.66666666667,251.51111111111,196,260
15338,"CV78",29,15,14,0,107.72413793103,155.26666666667,56.785714285714,0
15341,"CF79",153,108,43,2,225.16339869281,269.37037037037,121.46511627907,67.5
15385,"CO83",127,77,49,1,160.48031496063,209.77922077922,85.061224489796,60
15396,"CF70",41,24,17,0,188.14634146341,247.875,103.82352941176,0
15711,"CR61",57,41,12,4,150.45614035088,169.9512195122,111.66666666667,67
16326,"CO95",53,39,14,0,151.03773584906,175.89743589744,81.785714285714,0
16338,"CN91",43,23,20,0,167.58139534884,169.47826086957,165.4,0
