ID,LATITUDE,LONGITUDE,ZIP
2539,40.647490000,-73.972370000,11218
2595,40.753620000,-73.983770000,10036
3647,40.809020000,-73.941900000,10027
3831,40.685140000,-73.959760000,11238
5022,40.798510000,-73.943990000,10029
5099,40.747670000,-73.975000000,10016
5121,40.686880000,-73.955960000,11216
5178,40.764890000,-73.984930000,10019
5203,40.801780000,-73.967230000,10025
5238,40.713440000,-73.990370000,10002
5295,40.803160000,-73.965450000,10025
5441,40.760760000,-73.988670000,10036
5803,40.668290000,-73.987790000,11215
6021,40.798260000,-73.961130000,10025
6090,40.735300000,-74.005250000,10014
6848,40.708370000,-73.953520000,11211
7097,40.691690000,-73.971850000,11205
7322,40.741920000,-73.995010000,10011
7726,40.675920000,-73.946940000,11213
7750,40.796850000,-73.948720000,10029
7801,40.718420000,-73.957180000,11211
8024,40.680690000,-73.977060000,11217
8025,40.679890000,-73.977980000,11217
8110,40.680010000,-73.978650000,11217
8490,40.683710000,-73.940280000,11221
8505,40.655990000,-73.975190000,11218
8700,40.867540000,-73.926390000,10034
9357,40.767150000,-73.985330000,10019
9518,40.864820000,-73.921060000,10034
9657,40.729200000,-73.985420000,10003
9668,40.822450000,-73.951040000,10031
9704,40.813050000,-73.954660000,10027
9782,40.722190000,-73.937620000,11222
9783,40.821300000,-73.953180000,10031
10452,40.683100000,-73.954730000,11216
10962,40.668690000,-73.987800000,11215
11452,40.688760000,-73.943120000,11221
11708,40.701860000,-73.927450000,11237
11943,40.637020000,-73.963270000,11226
12048,40.714010000,-73.989170000,10002
12192,40.722900000,-73.981990000,10009
12299,40.662780000,-73.979660000,11215
12303,40.696730000,-73.975840000,11205
12318,40.790090000,-73.979270000,10024
12343,40.811750000,-73.944780000,10027
12627,40.659440000,-73.962380000,11225
12937,40.747710000,-73.947400000,11101
12940,40.681110000,-73.955910000,11238
13050,40.685540000,-73.940900000,11221
13394,40.691420000,-73.973760000,11201
13808,40.680430000,-73.939340000,11216
14287,40.786350000,-73.970080000,10024
14290,40.704200000,-73.935600000,11206
14314,40.735060000,-73.953920000,11222
14322,40.739610000,-73.980740000,10010
14377,40.708810000,-73.959300000,11211
14991,40.720040000,-73.991040000,10002
15220,40.755310000,-73.992930000,10018
15338,40.724010000,-73.937880000,11222
15341,40.722100000,-73.997750000,10012
15385,40.711850000,-73.962040000,11211
15396,40.746230000,-73.995300000,10001
15711,40.770650000,-73.952690000,10075
16326,40.678110000,-73.964280000,11238
16338,40.690000000,-73.967880000,11205
16421,40.759790000,-73.991190000,10036
16458,40.673430000,-73.983380000,11215
16580,40.726490000,-73.979040000,10009
16595,40.709330000,-73.967920000,11211
16821,40.722980000,-73.984740000,10009
16974,40.801640000,-73.939220000,10035
17037,40.721620000,-73.980080000,10009
17092,40.763420000,-73.988650000,10019
